gene	idx
COL5A1	724
COL5A3	725
COL6A1	726
COL6A2	727
COL6A3	728
COLEC10	729
COLGALT1	730
COMP	731
CORIN	732
CORO7	733
COX8C	734
CP	735
CPA1	736
CPA5	737
CPB2	738
CPE	739
CPLX2	740
CPM	741
CPN1	742
CPN2	743
CPXM1	744
CR1	745
CRBN	746
CREBRF	747
CREM	748
CRIM1	749
CRIP1	750
CRISP1	751
CRISP2	752
CRISP3	753
CRLF1	754
CRNN	755
CROCC2	756
CRTAC1	757
CRTAM	758
CRYBA2	759
CRYBB1	760
CRYGD	761
CSDC2	762
CSF1	763
CSF2	764
CSF2RB	765
CSGALNACT1	766
CSHL1	767
CSKMT	768
CSN2	769
CSNK1A1L	770
CSPG4	771
CSRNP1	772
CSRNP3	773
CST4	774
CST5	775
CST6	776
CST7	777
CST9	778
CT62	779
CTF1	780
CTH	781
CTHRC1	782
CTLA4	783
CTNNA1	784
CTNNA2	785
CTNS	786
CTSA	787
CTSC	788
CTSD	789
CTSH	790
CTSS	791
CTSW	792
CTU2	793
CTXN3	794
CTXND2	795
CUL4B	796
CX3CR1	797
CXCL1	798
CXCL10	799
CXCL11	800
CXCL13	801
CXCL2	802
CXCL3	803
CXCL8	804
CXCL9	805
CXCR3	806
CXCR4	807
CXCR6	808
CXorf66	809
CYFIP2	810
CYGB	811
CYLC1	812
CYP11B2	813
CYP17A1	814
CYP19A1	815
CYP1A1	816
CYP1B1	817
CYP24A1	818
CYP26A1	819
CYP26B1	820
CYP2A7	821
CYP2W1	822
CYP4A22	823
CYP4F2	824
CYP51A1	825
CYP8B1	826
CYSLTR1	827
CYSRT1	828
CYTH4	829
DAAM2	830
DAB2	831
DACH1	832
DACT1	833
DACT2	834
DALRD3	835
DAND5	836
DAO	837
DAPP1	838
DAW1	839
DBX2	840
DCDC1	841
DCDC2	842
DCDC2B	843
DCN	844
DCST1	845
DCTPP1	846
DCUN1D5	847
DDB2	848
DDC	849
DDI1	850
DDIT3	851
DDIT4	852
DDIT4L	853
DDX21	854
DDX28	855
DDX3X	856
DDX3Y	857
DDX53	858
DDX60	859
DDX60L	860
DEDD2	861
DEFA4	862
DEFA6	863
DEFB112	864
DEFB115	865
DEFB118	866
DEFB119	867
DEFB124	868
DEFB125	869
DEFB126	870
DEFB129	871
DEFB134	872
DEGS2	873
DELEC1	874
DENND10	875
DENND3	876
DENND4C	877
DEPDC1	878
DEPDC1B	879
DEPP1	880
DES	881
DGAT2L6	882
DGKB	883
DGKI	884
DGLUCY	885
DHFR	886
DHH	887
DHRS2	888
